Dataset,RQ,Window Size,Hop Length,Corr Tres/ PCA Dim,Model,Parameter,F1 Score,Accuracy,Precision,Recall
1,1,1,1.0,0.7,svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7208548262787193,0.7246621621621622,0.7341034713599388,0.7246621621621622
1,1,1,1.0,0.7,svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7049873578059852,0.7105855855855856,0.7236437541081276,0.7105855855855856
1,1,1,0.5,0.8,svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7291459905659862,0.7336711711711712,0.7463614968408387,0.7336711711711712
1,1,1,0.5,0.8,randomforest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7500360311628221,0.7528153153153153,0.761348172721314,0.7528153153153153
1,1,1,0.5,0.8,gradientboosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.7442169865140018,0.7471846846846847,0.7559210971028499,0.7471846846846847
1,1,1,0.5,0.8,extratrees,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.7423365424360703,0.7460585585585585,0.7573888127613954,0.7460585585585585
1,1,1,0.5,0.8,gaussiannb,{'var_smoothing': 1e-09},0.6424220626537489,0.6638513513513513,0.7064526144420694,0.6638513513513513
1,1,1,0.5,0.8,adaboost,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7154452655222153,0.7195945945945946,0.7295521953244913,0.7195945945945946
1,1,1,0.5,0.8,logisticregression,"{'C': 0.1, 'solver': 'liblinear'}",0.7342737190727546,0.7364864864864865,0.7419759196185588,0.7364864864864865
1,1,1,0.5,0.8,kneighbors,"{'n_neighbors': 10, 'weights': 'uniform'}",0.7038288288288288,0.7038288288288288,0.7044735577996571,0.7038288288288288
1,1,1,0.5,0.8,lgbm,"{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31}",0.7511588278719344,0.7528153153153153,0.7573526908758743,0.7528153153153153
1,1,1,0.5,0.8,xgb,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.7450989572300798,0.7483108108108109,0.7580221321911857,0.7483108108108109
